Date,AvgTemp,AverageDew,Humidity,Wind,Pressure,Solar(PV)
2023-01-01,87.9,31.3,13.4,5.7,29.2,325.2605568312357
2023-01-02,90.2,34.0,14.2,6.6,29.1,319.1589268711696
2023-01-03,93.2,31.4,11.8,8.8,29.1,351.7777391910761
2023-01-04,92.5,24.9,9.4,8.0,29.1,324.38328420488284
2023-01-05,91.2,18.9,7.8,9.4,29.2,71.311128780433
2023-01-06,94.0,26.3,9.4,11.0,29.2,186.7449347355901
2023-01-07,92.3,24.9,10.0,6.5,29.1,338.613409705813
2023-01-08,92.5,30.4,11.9,8.9,29.1,365.31082020682
2023-01-09,90.6,32.0,13.3,8.5,29.1,269.8978175471552
2023-01-10,89.9,30.4,12.3,7.9,29.1,323.84460479445625
2023-01-11,84.8,29.2,14.0,12.2,29.1,310.2960537906291
2023-01-12,78.7,28.5,17.8,8.9,29.1,343.26772710727187
2023-01-13,78.9,24.9,16.4,8.1,29.1,359.28384987226383
2023-01-14,83.9,18.8,10.3,7.8,29.1,-77.35382691235769
2023-01-15,86.9,23.5,10.6,6.3,29.1,-39.51896157643358
2023-01-16,,26.6,10.0,6.8,29.1,101.340371783493
2023-01-17,92.0,26.7,10.4,0.1227408355272636,29.0,55.38857676321349
2023-01-18,85.2,37.4,19.0,12.3,29.1,606.89920658548
2023-01-19,80.6,29.5,16.6,12.7,29.2,334.4293516926668
2023-01-20,77.7,26.7,17.5,8.5,29.1,211.471592853118
2023-01-21,84.0,24.8,12.2,6.9,29.1,361.4093645813709
2023-01-22,82.6,17.4,10.4,9.1,29.0,120.53260694648095
2023-01-23,84.2,21.4,10.1,4.6,29.0,102.81610251567156
2023-01-24,88.9,25.6,10.8,5.7,29.0,10.929699516519776
2023-01-25,89.1,27.4,11.3,7.0,29.0,143.98290030222995
2023-01-26,89.0,34.3,17.4,7.7,29.0,485.8334848680853
2023-01-27,90.3,31.8,13.3,5.8,29.0,161.44770648354677
2023-01-28,92.1,28.6,10.8,0.1227408355272636,29.1,228.2987820180238
2023-01-29,87.9,31.3,13.4,5.7,29.2,204.5517441089316
2023-01-30,90.2,34.0,14.2,6.6,29.1,302.2816875227395
2023-01-31,93.2,31.4,11.8,8.8,29.1,214.3442726547664
2023-02-01,92.5,24.9,9.4,8.0,29.1,360.6006002959832
2023-02-02,91.2,18.9,7.8,9.4,29.2,95.58330527882728
2023-02-03,94.0,26.3,9.4,11.0,29.2,96.151797814851
2023-02-04,92.3,24.9,10.0,6.5,29.1,255.37994033135084
2023-02-05,,30.4,11.9,8.9,29.1,146.60019850318753
2023-02-06,90.6,32.0,13.3,8.5,29.1,344.51499545052303
2023-02-07,89.9,30.4,12.3,7.9,29.1,48.5992863732248
2023-02-08,84.8,29.2,14.0,12.2,29.1,215.17153462117253
2023-02-09,78.7,28.5,17.8,8.9,29.1,416.1527359456035
2023-02-10,78.9,24.9,16.4,8.1,29.1,413.8993237994951
2023-02-11,83.9,18.8,10.3,7.8,29.1,151.95751093089683
2023-02-12,86.9,23.5,10.6,6.3,29.1,137.50068893729355
2023-02-13,91.6,26.6,10.0,6.8,29.1,130.07059348517822
2023-02-14,92.0,26.7,10.4,0.1227408355272636,29.0,4.1625810595830615
2023-02-15,85.2,37.4,19.0,12.3,29.1,493.1491370765818
2023-02-16,80.6,29.5,16.6,12.7,29.2,383.64173519442335
2023-02-17,77.7,26.7,17.5,8.5,29.1,483.1084448840808
2023-02-18,84.0,24.8,12.2,6.9,29.1,237.9860118525308
2023-02-19,,17.4,10.4,9.1,29.0,-48.56641708990085
2023-02-20,84.2,21.4,10.1,4.6,29.0,131.03723663342734
2023-02-21,88.9,25.6,10.8,5.7,29.0,125.29294915420525
2023-02-22,89.1,27.4,11.3,7.0,29.0,129.40357996634458
2023-02-23,89.0,34.3,17.4,7.7,29.0,540.9163917724953
2023-02-24,90.3,31.8,13.3,5.8,29.0,401.4669474745546
2023-02-25,92.1,28.6,10.8,0.1227408355272636,29.1,289.4128131027818
2023-02-26,72.7,21.6,17.1,8.5,29.3,206.8210724455098
2023-02-27,75.6,32.4,21.2,6.5,29.2,420.5466386563664
2023-02-28,73.0,22.3,15.7,12.9,29.2,365.066977454392
2023-03-01,67.2,29.5,26.1,10.3,29.3,664.3919639834596
2023-03-02,73.9,30.3,22.2,6.7,29.2,417.9928338370182
2023-03-03,75.1,27.4,18.2,0.1227408355272636,29.1,310.0875125669801
2023-03-04,77.9,22.9,13.6,10.2,29.1,126.65515285933698
2023-03-05,77.9,30.3,19.6,9.9,29.1,336.6452713511262
2023-03-06,82.0,27.7,15.2,9.3,29.0,422.9698404633616
2023-03-07,62.4,26.1,25.6,11.8,29.3,645.6984031427905
2023-03-08,61.4,27.3,28.9,11.2,29.3,559.1108866261632
2023-03-09,59.5,24.4,28.6,8.7,29.3,597.8906187681226
2023-03-10,57.3,24.2,26.8,10.8,29.4,475.3119627552396
2023-03-11,58.0,23.0,26.7,20.17072650115616,29.5,456.89482699343625
2023-03-12,60.5,24.0,26.3,10.1,29.4,498.4865166059256
2023-03-13,63.8,24.5,24.9,8.9,29.4,617.1120223112565
2023-03-14,67.8,19.5,18.4,7.6,29.3,274.0271356979052
2023-03-15,69.6,18.6,15.8,8.7,29.3,398.0028021395407
2023-03-16,71.0,23.4,18.4,7.9,29.2,29.356038550128005
2023-03-17,70.2,23.6,18.0,8.1,29.1,388.0972754812748
2023-03-18,,31.6,26.2,10.0,29.2,602.7451775061988
2023-03-19,61.9,25.3,26.4,10.8,29.3,461.70119144875446
2023-03-20,61.3,19.4,21.6,8.7,29.4,322.88568541890515
2023-03-21,61.3,22.9,23.8,10.5,29.4,180.37741939390185
2023-03-22,62.3,27.4,29.4,10.5,29.4,560.3460923378736
2023-03-23,62.3,25.5,21.1,12.5,29.4,492.3073828662922
2023-03-24,71.1,15.3,12.5,9.8,29.3,307.2253449215667
2023-03-25,76.8,24.5,14.9,9.1,29.2,212.6482759898988
2023-03-26,79.1,26.2,14.8,9.7,29.2,207.6777036817494
2023-03-27,82.0,26.2,14.8,8.3,29.2,248.51872520570103
2023-03-28,62.0,34.7,37.5,7.2,29.4,872.4162329472281
2023-03-29,62.0,37.6,44.4,0.1227408355272636,29.3,956.1346220625652
2023-03-30,62.3,28.5,29.6,8.8,29.3,505.9183775856257
2023-03-31,59.5,27.8,30.9,11.1,29.4,646.9524176424691
2023-04-01,56.6,32.8,42.4,9.3,29.5,829.3905304282845
2023-04-02,56.4,32.3,42.6,7.7,29.5,904.2029489586178
2023-04-03,60.6,31.5,35.9,8.1,29.4,630.3821596734911
2023-04-04,63.2,29.7,31.1,7.4,29.4,570.2751638742457
2023-04-05,61.0,21.1,20.4,8.4,29.3,226.9161031554627
2023-04-06,58.3,28.0,32.3,10.5,29.4,436.908355705467
2023-04-07,58.2,30.7,36.6,8.4,29.4,715.5812304771036
2023-04-08,62.7,35.3,38.6,7.7,29.4,853.758079939788
2023-04-09,63.9,35.1,36.8,7.5,29.4,793.9224802306707
2023-04-10,66.5,28.9,26.0,7.9,29.3,482.6234153287338
2023-04-11,64.8,29.4,29.0,7.9,29.3,419.9372183744544
2023-04-12,63.8,31.9,33.3,7.7,29.3,641.0810144958103
2023-04-13,64.5,28.1,28.7,6.2,29.2,504.5784031820553
2023-04-14,65.5,30.6,28.9,10.7,29.2,537.4665003856218
2023-04-15,61.1,36.4,41.4,12.8,29.4,938.2005717167392
2023-04-16,61.9,34.9,37.7,8.0,29.4,829.7105942495994
2023-04-17,63.5,36.0,38.5,7.9,29.4,1049.0334491331582
2023-04-18,67.0,32.7,31.1,5.7,29.3,674.3955594115024
2023-04-19,70.5,30.4,23.4,6.0,29.2,487.88054297950407
2023-04-20,65.1,27.6,25.5,8.2,29.3,467.5779492657215
2023-04-21,64.3,32.8,32.2,9.7,29.4,479.7371663171055
2023-04-22,62.3,33.0,35.0,6.2,29.4,690.1854737005862
2023-04-23,64.7,32.8,32.9,7.8,29.4,699.662323093513
2023-04-24,69.8,27.1,22.5,8.5,29.3,719.8566323733814
2023-04-25,61.8,38.6,43.7,14.1,29.2,1046.2682938740763
2023-04-26,63.0,41.2,46.0,12.4,29.3,1162.1782076566974
2023-04-27,65.3,38.3,38.1,11.8,29.3,924.9887053324228
2023-04-28,68.0,39.3,35.8,12.3,29.3,791.9774158618512
2023-04-29,64.5,37.9,38.1,13.0,29.3,1061.4855095966525
2023-04-30,61.8,32.9,34.7,20.17072650115616,29.3,911.3246335955452
2023-05-01,59.0,22.8,26.0,12.3,29.3,554.0455141747352
2023-05-02,63.4,31.7,31.1,10.9,29.3,561.0353799725788
2023-05-03,67.2,25.8,22.4,10.5,29.3,595.9473742029709
2023-05-04,61.3,33.8,36.2,8.3,29.3,578.7383830928492
2023-05-05,58.4,32.5,39.4,8.9,29.3,836.1022803180297
2023-05-06,53.5,26.4,37.9,7.8,29.4,853.5971188390976
2023-05-07,53.9,30.6,43.0,10.4,29.4,679.7190042356242
2023-05-08,53.6,29.2,42.8,0.1227408355272636,29.5,646.955249743695
2023-05-09,52.0,27.7,40.3,8.6,29.5,661.4796501596406
2023-05-10,53.9,31.4,44.4,9.5,29.6,754.597678047218
2023-05-11,56.8,34.6,44.2,9.0,29.5,696.8070225827253
2023-05-12,58.0,30.0,35.3,8.0,29.4,645.4919272286629
2023-05-13,55.5,27.9,37.3,8.9,29.4,536.6395914901284
2023-05-14,52.8,25.7,37.5,8.6,29.4,650.61316736987
2023-05-15,52.8,24.4,36.5,10.1,29.5,460.4963342342818
2023-05-16,51.6,26.4,39.0,9.0,29.5,786.1927845519293
2023-05-17,52.8,28.1,41.4,7.1,29.4,590.6301378430137
2023-05-18,58.8,30.4,34.8,12.3,29.4,674.1252332173757
2023-05-19,76.0,40.6,28.8,13.8,29.3,945.0388939106638
2023-05-20,66.0,44.0,45.8,13.2,29.3,1078.6969251922646
2023-05-21,66.0,43.3,40.6,10.3,29.3,1085.4625928064545
2023-05-22,70.0,42.1,38.0,7.7,29.3,1104.2177029710672
2023-05-23,67.4,33.8,29.6,10.6,29.3,500.9848441982649
2023-05-24,65.2,42.7,45.0,9.1,29.3,1116.4577244385534
2023-05-25,71.7,41.2,35.8,8.2,29.3,955.5091073673264
2023-05-26,63.1,27.2,27.1,16.3,29.4,739.1075158955043
2023-05-27,71.5,48.8,46.2,12.8,29.3,1220.357421803411
2023-05-28,71.7,47.8,45.3,13.3,29.2,1195.7167725607294
2023-05-29,63.4,39.0,41.7,20.17072650115616,29.3,1138.241572217859
2023-05-30,59.2,35.0,42.0,13.1,29.4,968.5563140556504
2023-05-31,59.6,35.7,41.8,12.1,29.4,946.8222135380464
2023-06-01,58.9,37.9,46.4,10.9,29.4,1047.8373030446674
2023-06-02,58.9,33.5,44.2,6.5,29.4,735.0672806263663
2023-06-03,58.3,32.0,37.6,10.5,29.4,769.9879066877105
2023-06-04,52.1,29.9,44.3,8.7,29.5,784.5549720628547
2023-06-05,57.0,34.6,45.1,11.1,29.5,851.6893440170996
2023-06-06,,35.1,45.3,11.3,29.4,1095.1871962259231
2023-06-07,59.8,39.1,47.7,13.7,29.4,1176.5536213002968
2023-06-08,58.7,33.4,39.5,14.6,29.4,756.9596153077089
2023-06-09,59.3,34.1,39.9,13.8,29.4,966.3578969497212
2023-06-10,61.1,34.9,38.1,13.7,29.4,771.9420162749948
2023-06-11,62.7,32.0,32.8,10.5,29.3,779.2593064116699
2023-06-12,59.5,36.0,43.6,11.1,29.3,1076.7135136908144
